Station,Event,Sensor File,Peak Acceleration (cm/s²),Peak Velocity (cm/s),Arias Intensity (m/s)
24260,Whittier Narrows Area  Earthquake of 16 Mar 2010,GM_Y_32_3_14601172.V2,18.214,0.662,0.0035315225497929473
24260,Whittier Narrows Area  Earthquake of 16 Mar 2010,GM_X_32_10_14601172.V2,35.998,2.241,0.034344579683064064
24260,Whittier Narrows Area  Earthquake of 16 Mar 2010,GM_Y_32_6_14601172.V2,19.381,0.693,0.009905678898098123
24260,Whittier Narrows Area  Earthquake of 16 Mar 2010,GM_Y_32_5_14601172.V2,21.019,0.643,0.0060786469112387885
24260,Whittier Narrows Area  Earthquake of 16 Mar 2010,GM_Y_32_9_14601172.V2,19.649,0.704,0.00744459161297458
24260,Whittier Narrows Area  Earthquake of 16 Mar 2010,GM_Y_32_11_14601172.V2,22.456,0.877,0.011046673113667369
24260,Whittier Narrows Area  Earthquake of 16 Mar 2010,GM_X_32_4_14601172.V2,32.149,1.445,0.021745809935018182
24260,Whittier Narrows Area  Earthquake of 16 Mar 2010,GM_Y_32_8_14601172.V2,17.894,0.547,0.0053364250397346085
24260,Whittier Narrows Area  Earthquake of 16 Mar 2010,GM_X_32_7_14601172.V2,33.474,1.693,0.02064752217477434
24260,Whittier Narrows Area  Earthquake of 16 Mar 2010,GM_X_32_2_14601172.V2,30.168,1.277,0.0055505440445408226
24260,Whittier Narrows Area  Earthquake of 16 Mar 2010,GM_Y_32_12_14601172.V2,13.805,0.765,0.00792192890024618
24260,Ridgecrest Earthquake of 05 Jul 2019,GM_X_32_10_38457511.V2,48.847,6.18,0.11783433445241898
24260,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_32_3_38457511.V2,12.784,3.354,0.008545902509084538
24260,Ridgecrest Earthquake of 05 Jul 2019,GM_Z_32_1_38457511.V2,10.594,2.047,0.0037336508503174924
24260,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_32_6_38457511.V2,21.717,3.752,0.029029641713586227
